column,run,charge_ave,charge_ave_err,IPM2C21A_corr3,IPM2C24A_corr3,IPM2H01_corr3
270,18637,0.017932256,4.35461E-05,0.017993795,0.017899454,0.01790352
271,18638,0.753334719,0.001942639,0.756072528,0.752163483,0.751768148
272,18639,0.885681611,0.002349312,0.88900404,0.884019713,0.884021081
273,18640,0.023755564,5.45419E-05,0.023820241,0.023759626,0.023686826
274,18641,0.227654033,0.000621933,0.228533207,0.227192301,0.22723659
275,18642,0.869113911,0.002547536,0.872713469,0.867445654,0.867182611
276,18644,0.285818958,0.00035113,0.286182038,0.285344044,0.285930792
277,18645,0.268611001,0.000435331,0.269050187,0.268017768,0.268765047
278,18646,0.289796754,0.000382934,0.290174956,0.289271974,0.289943332
279,18647,0.285739976,0.000296629,0.286113646,0.28538803,0.285718253
280,18648,0.286428448,0.000458197,0.286897091,0.285806574,0.286581678
281,18649,0.279755714,0.00040497,0.280261583,0.279270242,0.279735318
282,18650,0.288796953,0.000350274,0.289159522,0.288323358,0.288907979
283,18651,0.286882865,0.000469553,0.287335328,0.286235708,0.287077558
284,18652,0.286637881,0.000387402,0.287065333,0.286127366,0.286720943
285,18653,0.285423941,0.000371353,0.285882422,0.284972889,0.285416511
286,18654,0.063304549,7.87366E-05,0.06339575,0.063203622,0.063314275
287,18655,0.218542515,0.000195825,0.218812051,0.21835267,0.218462823
288,18656,0.117558183,0.000196311,0.117558779,0.117317454,0.117798314
289,18660,0.063542174,0.0002294,0.063864871,0.063351902,0.06340975
290,18661,0.044110816,0.000199163,0.044367079,0.044083906,0.043881463
291,18663,0.524458642,0.001697313,0.526853871,0.523396914,0.52312514
292,18664,0.016932624,3.55681E-06,0.016935392,0.016927603,0.016934878
293,18665,0.117674537,0.000296482,0.118091036,0.117424475,0.117508101
294,18666,0.87538487,0.002639288,0.879093469,0.873895916,0.873165223
295,18667,0.87525709,0.002551197,0.878854373,0.873698402,0.873218494
296,18668,0.872092982,0.001844695,0.874700704,0.87085383,0.870724411
297,18669,0.872227782,0.001756552,0.874711794,0.870963986,0.871007567
298,18670,0.873642362,0.001912739,0.876345682,0.872373785,0.87220762
299,18671,0.32216525,0.000665288,0.323105773,0.321673212,0.321716765
300,18672,0.875888933,0.001820272,0.878462949,0.874632222,0.874571629
301,18673,0.869908082,0.002160017,0.872962055,0.868322387,0.868439804
302,18674,0.038127944,0.000108668,0.038268499,0.038003851,0.038111481
303,18675,0.695738262,0.001475996,0.697821449,0.694811103,0.694582235
304,18676,0.746645864,0.001991872,0.749388573,0.745830832,0.744718188
305,18677,0.697946739,0.001560227,0.700125692,0.697158234,0.69655629
306,18678,0.875340883,0.00218805,0.878393684,0.874252264,0.873376702
307,18679,0.765746714,0.001712597,0.768166427,0.76462755,0.764446167
308,18680,0.512288772,0.001455672,0.514288602,0.511711918,0.510865795
309,18681,0.03786725,0.000123519,0.03802998,0.037840884,0.037730887
311,18684,0.000709238,6.47731E-06,0.000715715,0.000702761,
312,18685,0.000539335,2.48301E-06,0.000541818,0.000536852,
313,18686,0.900965214,0.002244684,0.904137843,0.89947231,0.899285489
314,18687,0.027991887,6.12767E-05,0.028078476,0.027945601,0.027951582
315,18688,0.025329624,8.49546E-05,0.0254393,0.025317263,0.025232309
316,18689,0.017489994,3.52953E-05,0.017539755,0.017461725,0.017468501
317,18690,0.075069676,0.00018717,0.075334367,0.074935568,0.074939094
